id,gender,height,weight,siblings
330,M,164,63,3
278,F,162,44,2
160,M,185,75,1
225,F,154,40,1
322,F,154,37,1
139,F,167,50,1
243,F,166,40,1
224,F,158,49,2
273,F,162,48,3
365,M,183,70,0
195,F,164,61,3
120,M,166,58,2
187,F,161,48,2
328,F,165,67,2
157,F,162,49,1
251,F,166,44,0
110,F,160,44,2
212,M,175,69,3
147,M,168,58,1
210,F,166,55,2
361,F,163,52,2
368,M,165,62,0
348,M,172,55,2
192,F,158,48,0
333,F,172,51,3
256,F,163,53,1
293,M,182,58,2
287,M,174,52,1
138,F,158,43,1
128,F,171,57,3
258,F,161,61,1
357,F,159,47,1
134,M,175,85,2
132,F,163,53,1
373,F,162,52,3
247,F,160,45,2
228,F,170,50,2
113,F,161,45,1
388,M,170,59,1
268,F,157,51,1
280,M,183,70,2
340,F,165,49,3
312,F,154,48,2
250,F,158,51,1
307,M,182,78,1
349,M,170,68,1
323,F,154,50,2
177,M,176,58,0
289,F,159,59,2
379,M,180,64,1
190,M,170,59,2
336,M,176,64,1
257,F,155,43,2
149,M,176,65,2
319,F,161,50,2
382,M,179,68,0
245,F,169,63,3
129,F,155,45,1
231,F,163,45,1
106,F,152,40,2
234,F,172,64,1
385,F,170,62,2
356,M,177,76,3
386,F,164,49,2
341,F,157,52,1
331,F,169,57,0
142,F,164,54,3
351,M,180,70,1
181,M,182,70,2
146,M,167,72,1
237,F,161,62,1
272,M,181,62,1
121,F,165,65,1
116,M,171,65,1
166,M,180,56,1
353,M,181,71,1
374,M,168,59,1
204,F,156,49,1
124,F,163,48,1
143,F,168,46,1
327,F,153,43,1
131,F,164,50,2
169,F,164,48,2
176,M,174,68,1
304,F,153,49,2
260,F,156,51,1
150,F,158,56,1
362,M,174,66,1
194,F,165,55,1
188,F,167,50,1
366,M,178,73,1
305,M,182,69,2
236,F,160,49,1
168,F,158,53,2
127,F,156,41,1
376,F,158,47,3
112,F,167,54,1
276,F,160,49,0
298,M,175,70,1
174,F,158,44,3
332,M,166,69,2
381,M,169,58,1
263,F,156,47,0
387,F,162,54,3
290,M,175,73,2
321,M,173,69,0
213,F,161,47,2
206,F,165,60,1
200,F,153,46,1
193,M,168,60,3
343,M,176,82,1
346,F,163,58,2
163,F,168,50,2
156,F,155,40,1
104,M,178,58,1
297,M,170,57,1
354,F,157,41,1
217,M,179,66,3
126,F,163,75,3
218,M,168,57,1
158,M,168,60,2
281,F,164,49,1
255,F,163,48,2
303,M,182,74,2
253,F,162,56,1
301,M,170,61,3
261,F,167,56,1
179,M,162,70,0
119,F,169,49,1
202,M,174,65,0
215,F,153,55,3
372,M,171,56,1
244,F,166,47,1
207,M,166,73,1
308,F,158,57,1
183,M,177,62,2
122,F,160,48,1
233,M,177,67,1
123,M,172,71,2
208,M,174,69,2
283,M,180,79,1
136,F,168,70,1
171,M,179,72,1
235,F,163,50,1
180,F,154,52,1
347,M,174,64,1
159,F,160,52,1
227,M,172,60,2
370,F,166,56,1
196,M,169,55,3
262,M,176,71,2
363,M,178,44,2
211,M,173,68,1
252,F,164,49,2
178,M,179,82,2
103,F,167,57,1
266,M,174,67,2
167,F,168,50,1
209,M,183,56,1
240,M,170,53,1
148,M,174,58,2
172,M,167,71,1
279,F,157,43,2
205,M,168,67,3
302,M,175,78,0
269,M,168,62,2
108,F,155,37,0
182,F,154,50,1
317,M,175,64,2
111,F,161,41,3
221,F,159,35,3
109,M,170,67,1
306,F,156,46,2
191,F,165,47,2
165,F,154,45,2
311,F,160,56,1
378,M,176,69,1
352,M,176,76,2
220,M,168,66,1
284,F,156,46,1
101,F,155,48,2
249,F,146,35,1
175,M,178,72,2
248,M,181,66,1
189,M,168,64,1
324,M,179,70,0
316,F,159,53,0
325,M,176,66,1
318,M,175,67,1
216,F,164,48,1
133,F,170,60,2
197,F,163,45,0
137,M,172,62,1
226,F,161,43,2
299,F,178,55,1
375,F,173,56,1
277,F,170,67,1
371,F,164,54,1
117,F,169,56,1
164,M,179,70,2
264,M,183,72,1
344,F,164,46,2
144,M,175,73,1
285,M,184,67,3
238,M,175,60,0
230,F,156,48,1
339,M,169,64,3
184,F,157,45,1
367,M,186,65,3
313,F,167,51,1
291,M,178,62,1
309,F,170,54,2
239,M,178,68,2
295,M,168,73,1
105,F,159,46,0
222,F,160,60,1
135,F,160,50,3
380,M,171,56,2
358,M,174,72,3
369,M,166,63,1
153,F,155,46,1
265,M,164,55,1
145,M,173,63,1
141,M,172,55,2
315,F,153,46,0
140,M,172,60,1
151,F,170,55,1
286,F,154,47,2
246,M,168,58,2
173,F,172,58,2
198,F,156,50,0
242,M,171,56,2
294,F,161,45,1
359,F,160,50,1
229,M,176,68,3
292,F,165,47,1
219,M,182,67,1
282,F,163,35,1
345,F,156,42,0
254,M,173,84,2
329,M,176,73,1
296,F,166,67,2
185,F,160,51,2
335,F,148,44,2
152,M,165,65,2
186,F,158,42,2
114,F,162,52,1
320,M,171,68,3
314,M,166,63,1
162,F,158,58,3
271,F,168,58,2
355,F,158,45,2
223,M,175,54,2
350,F,166,48,1
383,M,166,64,2
377,M,175,72,3
107,M,178,60,1
342,M,169,69,1
170,F,152,49,2
125,F,167,52,1
115,F,158,52,0
338,M,172,65,1
337,F,161,42,1
274,F,165,57,1
267,M,169,65,1
259,F,163,51,1
334,F,163,53,0
384,F,165,49,1
118,F,155,44,1
214,F,171,55,2
326,F,164,44,2
288,F,159,60,3
201,M,165,67,1
154,F,158,45,3
199,M,177,67,2
102,M,173,61,0
161,F,158,52,2
275,F,168,49,2
155,F,152,60,2
241,M,179,77,1
360,F,169,56,2
203,M,169,49,1
270,F,158,44,1
310,M,178,74,2
364,M,162,73,2
130,M,171,66,0
300,M,163,56,3
232,F,161,48,1
